"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4092","test_orders_count_increase[chrome-locator1]","tests","Tue Jan 14 19:38:13 CET 2025","passed","Tue Jan 14 19:38:17 CET 2025","TestFeedPage","test_feed_page","",""
"","6615","test_last_user_order_displayed_correctly[chrome-locator1]","tests","Tue Jan 14 19:43:00 CET 2025","passed","Tue Jan 14 19:43:07 CET 2025","TestFeedPage","test_feed_page","",""
"","2356","test_close_ingredient_modal[chrome]","tests","Tue Jan 14 19:39:59 CET 2025","passed","Tue Jan 14 19:40:01 CET 2025","TestMainPage","test_main_page","",""
"","4036","test_orders_count_increase[firefox-locator0]","tests","Tue Jan 14 19:37:47 CET 2025","passed","Tue Jan 14 19:37:51 CET 2025","TestFeedPage","test_feed_page","",""
"","1260","test_navigate_to_the_forgot_password_page[chrome]","tests","Tue Jan 14 19:39:26 CET 2025","passed","Tue Jan 14 19:39:28 CET 2025","TestLoginPage","test_login_page","",""
"","1952","test_ingredient_modal_appears[chrome]","tests","Tue Jan 14 19:39:51 CET 2025","passed","Tue Jan 14 19:39:53 CET 2025","TestMainPage","test_main_page","",""
"","1605","test_navigate_to_the_forgot_password_page[firefox]","tests","Tue Jan 14 19:39:23 CET 2025","passed","Tue Jan 14 19:39:25 CET 2025","TestLoginPage","test_login_page","",""
"","241","test_navigate_to_the_profile_page[firefox]","tests","Tue Jan 14 19:39:32 CET 2025","passed","Tue Jan 14 19:39:32 CET 2025","TestMainPage","test_main_page","",""
"","1644","test_fill_email_and_go_to_the_password_page[firefox]","tests","Tue Jan 14 19:43:39 CET 2025","passed","Tue Jan 14 19:43:40 CET 2025","TestForgotPasswordPage","test_forgot_password_page","",""
"","1130","test_log_out_from_the_account[chrome]","tests","Tue Jan 14 19:40:44 CET 2025","passed","Tue Jan 14 19:40:45 CET 2025","TestProfilePage","test_profile_page","",""
"","1775","test_last_order_details_modal_appears[chrome]","tests","Tue Jan 14 19:39:05 CET 2025","passed","Tue Jan 14 19:39:07 CET 2025","TestFeedPage","test_feed_page","",""
"","2018","test_go_to_feed_page[firefox]","tests","Tue Jan 14 19:39:40 CET 2025","passed","Tue Jan 14 19:39:42 CET 2025","TestMainPage","test_main_page","",""
"","2482","test_ingredient_counter_increases_after_drag[chrome]","tests","Tue Jan 14 19:40:10 CET 2025","passed","Tue Jan 14 19:40:12 CET 2025","TestMainPage","test_main_page","",""
"","3140","test_last_user_order_displayed_correctly[firefox-locator0]","tests","Tue Jan 14 19:42:33 CET 2025","passed","Tue Jan 14 19:42:36 CET 2025","TestFeedPage","test_feed_page","",""
"","1936","test_fill_email_and_go_to_the_password_page[chrome]","tests","Tue Jan 14 19:43:42 CET 2025","passed","Tue Jan 14 19:43:44 CET 2025","TestForgotPasswordPage","test_forgot_password_page","",""
"","568","test_navigate_to_the_profile_page[chrome]","tests","Tue Jan 14 19:39:37 CET 2025","passed","Tue Jan 14 19:39:37 CET 2025","TestMainPage","test_main_page","",""
"","2102","test_ingredient_modal_appears[firefox]","tests","Tue Jan 14 19:39:47 CET 2025","passed","Tue Jan 14 19:39:50 CET 2025","TestMainPage","test_main_page","",""
"","1466","test_go_to_constructor_page[firefox]","tests","Tue Jan 14 19:37:36 CET 2025","passed","Tue Jan 14 19:37:37 CET 2025","TestFeedPage","test_feed_page","",""
"","2115","test_last_order_details_modal_appears[firefox]","tests","Tue Jan 14 19:39:01 CET 2025","passed","Tue Jan 14 19:39:03 CET 2025","TestFeedPage","test_feed_page","",""
"","6354","test_last_user_order_displayed_correctly[firefox-locator1]","tests","Tue Jan 14 19:42:42 CET 2025","passed","Tue Jan 14 19:42:48 CET 2025","TestFeedPage","test_feed_page","",""
"","4032","test_orders_count_increase[firefox-locator1]","tests","Tue Jan 14 19:37:56 CET 2025","passed","Tue Jan 14 19:38:00 CET 2025","TestFeedPage","test_feed_page","",""
"","1150","test_logged_in_user_can_create_an_order[chrome]","tests","Tue Jan 14 19:40:21 CET 2025","passed","Tue Jan 14 19:40:23 CET 2025","TestMainPage","test_main_page","",""
"","3465","test_last_user_order_displayed_correctly[chrome-locator0]","tests","Tue Jan 14 19:42:53 CET 2025","passed","Tue Jan 14 19:42:57 CET 2025","TestFeedPage","test_feed_page","",""
"","2138","test_close_ingredient_modal[firefox]","tests","Tue Jan 14 19:39:55 CET 2025","passed","Tue Jan 14 19:39:57 CET 2025","TestMainPage","test_main_page","",""
